#Transcript	Name/Description	Gene	Gene Description	DEA Result	Regulated	(1 - Probability)	Probability	Log2FC	Control MeanExpLevel	Test MeanExpLevel
G100.1	FBtr0310027	ush		Not DE		0.26396	0.73604	-0.15	1531.62	1382.86
G100.2	novel	ush		Not DE		0.43173	0.56827	0.38	57.18	74.66
G1000.1	FBtr0343417	mts		DE	DOWN	0.01958	0.98042	-1.21	460.03	198.9
G1000.3	FBtr0079525	mts		DE	DOWN	3.0E-4	0.9997	-1.29	2670.33	1095.82
G1000.4	FBtr0343417	mts		DE	DOWN	5.4E-4	0.99946	-1.33	3083.7	1228.46
G1000.6	FBtr0079525	mts		Not DE		0.0	1.0	-0.9	13886.12	7434.09
G10001.14	novel	CG10345_CG10340	CG10345_CG10340	Not DE		0.40597	0.59403	-0.4	143.26	108.53
G10001.15	novel	CG10345_CG10340	CG10345_CG10340	Not DE		0.16652	0.83348	-0.66	118.81	75.0
G10001.16	novel	CG10345_CG10340	CG10345_CG10340	DE	DOWN	0.00142	0.99858	-2.61	722.51	118.15
G10001.2	novel	CG10345_CG10340	CG10345_CG10340	DE	UP	9.0E-4	0.9991	2.14	222.32	977.52
G10001.22	novel	CG10345		DE	UP	0.0	1.0	2.9	249.4	1862.2
G10001.31	novel	CG10345_CG10340	CG10345_CG10340	Not DE		0.05636	0.94364	0.85	125.38	225.9
G10001.33	novel	CG10345_CG10340	CG10345_CG10340	Not DE		0.80514	0.19486	-0.14	115.17	104.87
G10001.4	novel	CG10345_CG10340	CG10345_CG10340	DE	DOWN	0.03987	0.96013	-1.01	331.67	165.02
G10001.42	novel	CG12783		Not DE		0.1552	0.8448	0.75	97.97	164.83
G10001.43	novel	CG12783		Not DE		0.32878	0.67122	-0.15	1013.55	916.52
G10001.44	novel	CG12783		DE	DOWN	0.00295	0.99705	-3.21	454.43	49.03
G10001.45	novel	CG12783		DE	UP	0.0	1.0	14.02	0.0	83.22
G10001.46	FBtr0479889	CG12783		DE	DOWN	0.0	1.0	-3.17	6424.54	711.63
G10001.52	novel	CG12783		DE	DOWN	0.02943	0.97057	-1.77	140.61	41.24
G10001.55	FBtr0083358	CG10340		Not DE		0.12809	0.87191	-0.1	6066.08	5663.41
G10003.2	novel	CG17562		Not DE		0.04637	0.95363	0.64	437.15	680.79
G10003.3	novel	CG17562		DE	UP	0.00933	0.99067	1.56	156.32	461.94
G10003.6	novel	CG17562		DE	UP	0.00192	0.99808	1.18	607.08	1372.51
G10004.3	novel	novelGene_CG17562_AS	novelGene_CG17562_AS	DE	UP	9.5E-4	0.99905	6.23	4.17	313.9
G10004.4	novel	novelGene_CG17562_AS	novelGene_CG17562_AS	DE	UP	0.0	1.0	15.98	0.0	324.26
G10004.5	novel	novelGene_CG17562_AS	novelGene_CG17562_AS	DE	UP	8.0E-4	0.9992	5.99	3.1	197.0
G10006.3	FBtr0083357	CG14905		Not DE		0.49026	0.50974	0.12	849.48	921.77
G10006.6	FBtr0083357	CG14905		Not DE		0.10837	0.89163	-0.46	504.06	366.23
G10007.11	FBtr0083332	Fas1		DE	DOWN	0.0	1.0	-2.49	8825.55	1575.33
G10007.13	novel	Fas1		Not DE		0.71756	0.28244	0.1	373.19	400.99
G10007.14	novel	Fas1		DE	DOWN	0.01605	0.98395	-1.49	382.32	136.0
G10007.15	novel	Fas1		DE	DOWN	0.0	1.0	-16.42	437.39	0.0
G10007.22	novel	Fas1		DE	UP	0.0	1.0	3.86	56.84	825.48
G10007.35	FBtr0083333	Fas1		DE	DOWN	3.0E-4	0.9997	-2.62	1703.62	277.28
G10007.37	novel	Arl6IP1_Fas1	Arl6IP1_Fas1	DE	UP	0.02552	0.97448	1.33	52.69	132.32
G10007.38	FBtr0333726	Fas1		Not DE		0.58391	0.41609	0.11	586.36	632.89
G10007.4	FBtr0300036	Fas1		DE	DOWN	0.00771	0.99229	-2.17	264.64	58.91
G10007.40	FBtr0083336	Arl6IP1	Arl6IP1	Not DE		0.03566	0.96434	-0.92	1125.8	596.12
G10007.41	FBtr0083336	Arl6IP1	Arl6IP1	DE	DOWN	0.0	1.0	-8.06	2502.64	9.36
G10007.42	novel	Arl6IP1	Arl6IP1	Not DE		0.62849	0.37151	-0.19	145.57	127.52
