""	"PromoterCounts_BamGal4_1.txt"	"PromoterCounts_BamGal4_2.txt"	"PromoterCounts_KmgKD_1.txt"	"PromoterCounts_KmgKD_2.txt"
"cCluster_1"	9034.19040940137	8502.46538004821	705.584270590057	879.991620911449
"cCluster_10"	487.012356839114	454.383573869149	165.673541485389	118.11253920335
"cCluster_1000"	741.637538839473	692.06113558532	1247.1769645829	1589.73093306131
"cCluster_10004"	294.653594891245	316.570533882462	3185.64149820636	3375.25202119845
"cCluster_1001"	16243.7523311932	15307.2338906952	2819.81413502796	2609.11663177131
"cCluster_10011"	813.911062114683	734.004234711703	743.42848057403	857.646005386491
"cCluster_10012"	4058.43630699262	3356.44657532794	643.351569727526	925.746928891125
"cCluster_10013"	2509.55910818694	2707.32718408629	502.907501564785	578.857849789393
"cCluster_10014"	643.790307328418	363.506859095319	555.889395542346	414.990002606366
"cCluster_10015"	1741.23596075354	1643.7700276673	830.890654759209	793.801389600896
"cCluster_10016"	8438.2118174704	7552.75377840083	6081.14405320227	5894.98619086992
"cCluster_10017"	33.3570107424051	49.9322608647417	447.402660254959	571.409311281074
"cCluster_1002"	724.95903346827	703.046232975563	1457.42257560497	1554.61639437923
"cCluster_10020"	8.89520286464135	13.9810330421277	466.745256468989	445.848233569404
"cCluster_10022"	1210.8594899493	1197.37561553651	1332.95717387991	1239.6496231703
"cCluster_10025"	3754.88750923673	3334.47638054745	4621.19853026504	4033.91564071983
"cCluster_10030"	11.1190035808017	11.983742607538	1845.11548232966	1902.56955041073
"cCluster_10033"	68.9378222009705	106.855038250547	1134.48531707507	1219.43216150486
"cCluster_10034"	805.015859250042	801.912109487751	2097.41021555614	2253.7149372315
"cCluster_1004"	23.3499075196835	22.9688399977812	2539.76698114657	2746.38255571034
"cCluster_10040"	90.0639290044937	32.9552921707295	1606.27646820859	1620.58916402435
"cCluster_10041"	1734.56455860506	1666.73886766508	1174.85247439131	1066.20508361943
"cCluster_10042"	1487.72267911127	1333.1913650886	569.345114647758	786.352851092576
"cCluster_10043"	7503.10361632498	8714.17816611472	4286.48751751791	5226.7458789807
"cCluster_10046"	1091.88615163473	687.067909498846	3060.33511403721	2659.12824747002
"cCluster_10048"	2377.2429655754	2184.0370902238	5207.36329379456	5029.89164697511
"cCluster_10049"	4361.9851047485	4039.5199039576	4286.48751751791	4155.22041071246
"cCluster_10051"	121.197139030738	127.826587813739	257.34062789101	338.376463663653
"cCluster_10052"	395.83652747654	376.489246920152	1515.45036424706	1353.50585465461
"cCluster_10056"	187838.886992273	196712.136257519	142702.947007562	139287.670105573
"cCluster_10062"	4118.47892632894	2753.26486408186	3775.17019151224	3020.9144035884
"cCluster_10065"	1774.59297149595	1645.76731810189	3763.396437295	3925.37979388432
"cCluster_10066"	0	0	280.888136325482	278.788155597097
"cCluster_10067"	77.8330250656118	146.800846942341	281.72911876957	266.019232439978
"cCluster_10069"	1330.94472862196	985.662829470001	189.22104991986	179.829001129425
"cCluster_1007"	1653.39583246521	1408.08975638572	2236.17231883071	2176.03732135902
"cCluster_10071"	325.786804917489	269.634208669605	195.107927028478	202.174616654384
"cCluster_10072"	0	0	769.498936340766	785.288774162816
"cCluster_10073"	0	0	168.196488817654	243.67361691502
"cCluster_10075"	11.1190035808017	3.99458086917933	1685.32881795289	2179.2295521483
"cCluster_10076"	3963.9247765558	4068.48061525915	4007.2813460806	3410.36655988052
"cCluster_10077"	0	0	502.907501564785	427.758925763485
"cCluster_10078"	116.749537598418	140.808975638572	1104.2099490879	2093.03932083775
"cCluster_10079"	206.813466602911	266.638273017721	4517.75768964218	5439.56126493268
"cCluster_1008"	722.73523275211	580.212871248298	877.985671628153	1174.74093045494
"cCluster_10080"	0	55.9241321685107	211.086593466155	112.792154554551
"cCluster_10082"	0	2.9959356518845	811.548058545179	773.583927935457
"cCluster_10084"	13559.6248667877	14128.8325342873	17069.4206676596	19071.4508120869
"cCluster_10086"	0	0	3334.49539080999	2295.21393749213
"cCluster_10091"	2979.89295965485	3114.77443274259	4775.09831753319	5586.40388123955
"cCluster_10092"	442.536342515907	342.535309532128	314.527434089013	138.330000868789
"cCluster_10093"	365.815217808376	405.449958221702	1529.74706579656	1485.45139394484
"cCluster_10094"	612.657097302173	575.219645161824	2211.78382795215	2307.98286064925
"cCluster_10096"	7240.69513181806	7254.15885842967	9746.14554453895	10182.1521408726
"cCluster_10097"	2270.5005311997	2700.33666756523	6870.82656820116	6623.87888775546
"cCluster_101"	222.380071616034	149.796782594225	2773.56010060311	2880.45624886009
"cCluster_10103"	664.916414131941	654.112617328116	1237.08517525384	1187.50985361206
"cCluster_10104"	11.1190035808017	0	1422.94229539735	1663.15224121475
"cCluster_10105"	3956.14147404924	3553.17968313502	5690.92819914531	6176.9665772563
"cCluster_10106"	5417.17854456658	4999.21795777794	1142.89514151596	1135.37008405383
"cCluster_10108"	8923.00037359335	7718.52888447177	3658.27363178397	3477.4034064554
"cCluster_10109"	9664.63791243283	8508.45725135198	2577.61119113054	2752.7670172889
"cCluster_10111"	144.547046550422	144.803556507751	1292.59001656367	1316.26316211301
"cCluster_10112"	38.9165125328059	54.9254869512159	170.719436149919	217.071693671022
"cCluster_10113"	46.6998150393671	14.9796782594225	449.925607587224	488.4113107598
"cCluster_10118"	75.6092243494515	140.808975638572	926.762653385272	1149.20308414071
"cCluster_10119"	5159.21766149198	4446.96715261389	2628.07013777584	2609.11663177131
"cCluster_10121"	7976.77316886713	5524.50534207502	652.602376612497	479.898695321721
"cCluster_10122"	4859.00456481034	7357.01931581104	3695.27685932385	3954.10987098784
"cCluster_10125"	3624.79516734135	3243.59966577362	5858.28370551888	5815.18042113793
"cCluster_10128"	336.905808498291	310.578662578693	592.051640638141	679.945158116585
"cCluster_10129"	11584.8898308373	11910.8415066755	3288.24135638513	3253.94725120582
"cCluster_1013"	83.3925268560127	35.951227822614	9942.09445401151	10770.5866830298
"cCluster_10133"	3678.1663845292	3666.02659268933	6707.67597404803	6552.58573346155
"cCluster_10138"	1375.42074294517	1455.02608159857	1580.20601244186	1390.74854719621
"cCluster_10139"	17714.7965049332	19242.8946920541	15289.9018159688	14938.5760168994
"cCluster_1014"	1248.66410212403	1419.07485377596	4462.25284833235	5493.82918835044
"cCluster_10141"	18618.7714960524	16582.5038331807	8796.67636516329	8818.00551692041
"cCluster_10142"	30203.6613268897	29735.659990171	28844.0158673394	30177.2217279912
"cCluster_10145"	2069.24656638719	1347.17239813073	465.904274024901	646.958773294028
"cCluster_10146"	1203.07618744274	1724.66029026818	1269.0425081292	892.760544068568
"cCluster_10147"	0	0	1694.57962483786	1900.44139655121
"cCluster_10149"	0	0	284.252066101835	254.314386212619
"cCluster_1015"	0	0	4033.35180184734	3417.81509838884
"cCluster_10153"	28.9094093100844	19.9729043458967	751.838305014912	802.314005038975
"cCluster_10154"	4.44760143232067	3.99458086917933	453.289537363577	451.168618218204
"cCluster_10155"	75.6092243494515	60.9173582549849	369.19129295475	306.454155770855
"cCluster_10156"	48140.837903439	46151.3900720634	28519.3966439214	30571.9942689321
"cCluster_10159"	21341.8154729908	18687.6479512382	2587.7029804596	2852.79024868633
"cCluster_10164"	43637.6414532143	35006.5094470531	20655.369809252	19526.8757380242
"cCluster_10167"	15214.1325996109	14992.6606472473	4990.38982321979	6439.793578907
"cCluster_1017"	12613.3976620614	11182.8291432675	2464.91954362272	2694.2427861521
"cCluster_10174"	115.637637240338	281.617951277143	1662.62229196251	1450.33685526276
"cCluster_10180"	1154.15257168722	1032.59915468286	5094.67164628673	5689.61934342626
"cCluster_10181"	2737.49868159338	2829.16190059626	3608.65566758276	3774.28086985841
"cCluster_10184"	252.401381284198	235.680271281581	935.172477826155	1132.17785326455
"cCluster_10185"	1432.12766120726	1455.02608159857	1353.98173498211	1291.78939272854
"cCluster_10186"	2590.72783432679	1621.79983288681	3392.52317945208	4423.36779701196
"cCluster_10187"	24339.4988383749	22700.2044343289	24291.7778974896	28619.4131028226
"cCluster_10188"	2864.25532241451	2974.96410232131	5379.76469483265	5310.80795643173
"cCluster_10189"	1797.94287901563	2151.08179805307	8848.81727669676	9667.13890686882
"cCluster_10190"	0	0	368.350310510662	211.751309022223
"cCluster_10191"	998.486521555991	1055.56799468064	1213.53766681937	1041.73131423496
"cCluster_10194"	722.73523275211	749.98255818842	665.21711327382	737.40531232362
"cCluster_10195"	12825.7706304547	12970.4040822253	8294.60984604259	8062.51089679087
"cCluster_10197"	5829.69357741432	6125.68976288651	6977.63133860036	8661.5862082457
"cCluster_10198"	0	0	1403.59969918332	301.133771122056
"cCluster_10204"	162.337452279705	177.75884867848	2939.2336420885	3244.37055883798
"cCluster_10208"	3350.15577889555	2884.08738754748	6062.64243943233	6221.65780830622
"cCluster_10209"	0	2.9959356518845	523.932062666991	463.937541375322
"cCluster_1021"	1256.44740463059	1216.34987466511	1184.94426372037	1110.89631466935
"cCluster_10210"	0	0	381.806029616074	375.61915620525
"cCluster_10211"	21.1261068035232	2.9959356518845	1132.8033521869	1166.22831501687
"cCluster_10212"	10.0071032227215	29.959356518845	312.845469200836	267.083309369738
"cCluster_10213"	0	0	2242.90017838341	2392.04493810029
