consensus.cluster	chr	start	end	strand	tpm
1	chr2L	8608	8631	+	99
2	chr2L	8702	8709	+	317
3	chr2L	9285	9320	+	109
4	chr2L	9387	9518	+	3788
5	chr2L	15767	15768	+	52
6	chr2L	23245	23288	+	271
7	chr2L	52533	52534	+	58
8	chr2L	66383	66404	+	158
9	chr2L	68898	68899	+	146
10	chr2L	69704	69711	+	111
11	chr2L	69947	70020	+	962
12	chr2L	70662	70707	+	318
13	chr2L	70842	70994	+	2190
14	chr2L	76029	76207	+	2223
15	chr2L	77768	77783	+	646
16	chr2L	80417	80458	+	700
17	chr2L	86027	86035	+	123
18	chr2L	94798	94801	+	112
19	chr2L	96157	96167	+	90
20	chr2L	101254	101255	+	84
21	chr2L	101675	101697	+	117
22	chr2L	102073	102105	+	282
23	chr2L	103487	103489	+	72
24	chr2L	104023	104146	+	1137
25	chr2L	110977	110998	+	82
26	chr2L	113015	113016	+	114
27	chr2L	113068	113069	+	67
28	chr2L	113639	113645	+	81
29	chr2L	113929	113953	+	79
30	chr2L	113999	114224	+	4217
31	chr2L	114428	114442	+	981
32	chr2L	122988	123000	+	464
33	chr2L	123517	123691	+	1555
34	chr2L	123745	123833	+	207
35	chr2L	123933	123973	+	70
36	chr2L	124014	124066	+	1054
37	chr2L	132139	132237	+	939
38	chr2L	133765	133803	+	206
39	chr2L	133952	134002	+	2674
40	chr2L	134233	134280	+	414
41	chr2L	134447	134472	+	455
42	chr2L	139419	139441	+	131
43	chr2L	144143	144274	+	1259
44	chr2L	147485	147493	+	106
45	chr2L	147991	148013	+	88
46	chr2L	155303	155328	+	102
47	chr2L	155482	155580	+	159
48	chr2L	155622	155785	+	3700
49	chr2L	155859	156071	+	29918
50	chr2L	157571	157684	+	1871
51	chr2L	159367	159387	+	796
52	chr2L	159755	159777	+	73
53	chr2L	160052	160219	+	1636
54	chr2L	160827	160835	+	93
55	chr2L	162362	162367	+	142
56	chr2L	162611	162630	+	816
57	chr2L	162970	162988	+	132
58	chr2L	188844	188879	+	771
59	chr2L	189683	189688	+	231
60	chr2L	189733	189818	+	404
61	chr2L	189952	189956	+	164
62	chr2L	190010	190125	+	2415
63	chr2L	190169	190302	+	3001
64	chr2L	190819	190823	+	489
65	chr2L	191036	191042	+	222
66	chr2L	192193	192194	+	303
67	chr2L	192407	192423	+	220
68	chr2L	192499	192532	+	769
69	chr2L	192577	192578	+	239
70	chr2L	193209	193301	+	1707
71	chr2L	200060	200061	+	91
72	chr2L	201387	201435	+	75
73	chr2L	201475	201738	+	5488
74	chr2L	201818	201931	+	453
75	chr2L	202840	202866	+	1578
76	chr2L	203094	203163	+	280
77	chr2L	203208	203250	+	198
78	chr2L	204716	204785	+	3360
79	chr2L	207166	207209	+	507
80	chr2L	208207	208239	+	1040
81	chr2L	209861	210048	+	2858
82	chr2L	210096	210121	+	91
83	chr2L	210235	210359	+	1265
84	chr2L	210431	210512	+	2319
85	chr2L	210730	210743	+	142
86	chr2L	219721	219739	+	195
87	chr2L	220196	220238	+	403
88	chr2L	223754	223767	+	63
89	chr2L	223878	223915	+	131
90	chr2L	228551	228588	+	150
91	chr2L	228647	228656	+	230
92	chr2L	229539	229594	+	80
93	chr2L	233086	233105	+	171
94	chr2L	233228	233230	+	73
95	chr2L	233437	233579	+	2697
96	chr2L	233696	234053	+	10249
97	chr2L	234137	234213	+	1741
98	chr2L	249127	249172	+	476
99	chr2L	249460	249464	+	219
100	chr2L	249593	249611	+	130
101	chr2L	249773	249816	+	202
102	chr2L	251955	251963	+	94
103	chr2L	254387	254393	+	97
104	chr2L	254838	254840	+	64
105	chr2L	254987	254989	+	61
106	chr2L	262276	262278	+	73
107	chr2L	262993	263009	+	453
108	chr2L	263203	263233	+	222
109	chr2L	269739	269754	+	576
110	chr2L	269807	269839	+	357
111	chr2L	269930	270045	+	1052
112	chr2L	270146	270175	+	121
113	chr2L	270216	270237	+	226
114	chr2L	270290	270306	+	1940
115	chr2L	271271	271649	+	32643
116	chr2L	273996	274003	+	127
117	chr2L	274679	274769	+	1188
118	chr2L	276528	276589	+	114
119	chr2L	277473	277479	+	89
120	chr2L	281002	281012	+	122
121	chr2L	281059	281072	+	93
122	chr2L	281552	281727	+	1827
123	chr2L	282165	282168	+	169
124	chr2L	283227	283231	+	56
125	chr2L	284267	284386	+	1200
126	chr2L	292180	292182	+	59
127	chr2L	292596	292660	+	929
128	chr2L	292738	293230	+	109214
129	chr2L	293350	293409	+	199
130	chr2L	295217	295218	+	67
131	chr2L	295968	295972	+	172
132	chr2L	297097	297451	+	26907
133	chr2L	302997	302998	+	129
134	chr2L	303241	303253	+	228
135	chr2L	303355	303388	+	301
136	chr2L	303576	303578	+	110
137	chr2L	303870	303934	+	3673
138	chr2L	304026	304031	+	374
139	chr2L	304667	304680	+	454
140	chr2L	305183	305222	+	753
141	chr2L	306128	306130	+	87
142	chr2L	308544	308568	+	96
143	chr2L	319663	319671	+	69
144	chr2L	320277	320287	+	450
145	chr2L	323004	323114	+	867
146	chr2L	326069	326109	+	73
147	chr2L	329973	329974	+	75
148	chr2L	330615	330621	+	419
149	chr2L	333547	333553	+	316
150	chr2L	333626	333633	+	70
151	chr2L	334525	334544	+	524
152	chr2L	338939	338962	+	469
153	chr2L	341259	341283	+	919
154	chr2L	341795	341806	+	78
155	chr2L	342779	342789	+	66
156	chr2L	346233	346261	+	344
157	chr2L	346351	346352	+	70
158	chr2L	346459	346563	+	266
159	chr2L	355785	355789	+	133
160	chr2L	356341	356342	+	57
161	chr2L	356660	356661	+	86
162	chr2L	356803	356874	+	759
163	chr2L	382959	382976	+	100
164	chr2L	387343	387441	+	3095
165	chr2L	396502	396524	+	176
166	chr2L	396580	396657	+	1280
167	chr2L	406995	406997	+	58
168	chr2L	407858	407976	+	1824
169	chr2L	413988	413993	+	147
170	chr2L	414689	414709	+	56
171	chr2L	414948	414955	+	112
172	chr2L	417640	417845	+	3488
173	chr2L	418398	418425	+	439
174	chr2L	420045	420074	+	239
175	chr2L	420323	420724	+	89377
176	chr2L	421638	421702	+	578
177	chr2L	422487	422504	+	105
178	chr2L	422558	422562	+	102
179	chr2L	422606	422607	+	155
180	chr2L	423330	423360	+	144
181	chr2L	425270	425363	+	2739
182	chr2L	431622	431623	+	159
183	chr2L	440040	440132	+	862
184	chr2L	445004	445006	+	72
185	chr2L	447714	447717	+	65
186	chr2L	448296	448349	+	304
187	chr2L	448689	448695	+	206
188	chr2L	453193	453287	+	1014
189	chr2L	454269	454270	+	86
190	chr2L	458678	458740	+	553
191	chr2L	474763	474764	+	58
192	chr2L	475840	475885	+	237
193	chr2L	475935	475970	+	94
194	chr2L	476117	476177	+	4170
195	chr2L	480063	480069	+	142
196	chr2L	480602	480604	+	103
197	chr2L	499595	499620	+	82
198	chr2L	519016	519044	+	102
199	chr2L	534264	534274	+	87
200	chr2L	540471	540537	+	330
201	chr2L	541167	541236	+	79
202	chr2L	541416	541418	+	58
203	chr2L	546948	547141	+	4254
204	chr2L	553090	553096	+	62
205	chr2L	560305	560552	+	19966
206	chr2L	563801	563847	+	91
207	chr2L	565938	565939	+	71
208	chr2L	566265	566495	+	9296
209	chr2L	568230	568246	+	57
210	chr2L	571073	571087	+	203
211	chr2L	572469	572518	+	98
212	chr2L	572574	572783	+	8253
213	chr2L	575327	575333	+	96
214	chr2L	575437	575459	+	295
215	chr2L	575630	575742	+	2491
216	chr2L	577621	577632	+	94
217	chr2L	577781	577829	+	570
218	chr2L	579278	579565	+	4123
219	chr2L	588125	588129	+	53
220	chr2L	588745	588746	+	83
221	chr2L	606403	606429	+	702
222	chr2L	628857	629065	+	4877
223	chr2L	633435	633440	+	69
224	chr2L	658920	658926	+	139
225	chr2L	666559	666590	+	95
226	chr2L	676692	676694	+	72
227	chr2L	696937	697023	+	1477
228	chr2L	699150	699172	+	54
229	chr2L	715314	715316	+	91
230	chr2L	728216	728329	+	1465
231	chr2L	728435	728480	+	70
232	chr2L	730358	730611	+	59664
233	chr2L	731301	731312	+	217
234	chr2L	742187	742212	+	87
235	chr2L	749488	749668	+	1873
236	chr2L	750001	750004	+	58
237	chr2L	750367	750416	+	226
238	chr2L	750747	750806	+	458
239	chr2L	752578	752653	+	120
240	chr2L	755421	755424	+	79
241	chr2L	757509	757542	+	160
242	chr2L	762111	762144	+	451
243	chr2L	769851	769855	+	86
244	chr2L	769900	769902	+	57
245	chr2L	773261	773290	+	484
246	chr2L	773688	774100	+	49824
247	chr2L	776656	776689	+	154
248	chr2L	776740	776946	+	16375
249	chr2L	779553	779658	+	49218
250	chr2L	782862	782923	+	455
251	chr2L	783006	783026	+	71
252	chr2L	786020	786219	+	8575
253	chr2L	786672	786699	+	204
254	chr2L	788903	788914	+	210
255	chr2L	800234	800352	+	2240
256	chr2L	807476	807494	+	229
257	chr2L	811420	811465	+	391
258	chr2L	813330	813383	+	1053
259	chr2L	815841	815913	+	849
260	chr2L	817027	817039	+	251
261	chr2L	817275	817332	+	63
262	chr2L	817387	817430	+	93
263	chr2L	818064	818135	+	444
264	chr2L	819984	819995	+	153
265	chr2L	821024	821089	+	566
266	chr2L	821204	821211	+	402
267	chr2L	823966	824340	+	40562
268	chr2L	830310	830349	+	100
269	chr2L	830737	830744	+	161
270	chr2L	831989	832077	+	2464
271	chr2L	832169	832363	+	1214
272	chr2L	832453	832466	+	88
273	chr2L	832728	832737	+	533
274	chr2L	833118	833241	+	443
275	chr2L	843585	843632	+	81
276	chr2L	848923	848980	+	265
277	chr2L	849164	849182	+	58
278	chr2L	851225	851252	+	891
279	chr2L	854272	854311	+	74
280	chr2L	854353	854551	+	20123
281	chr2L	856182	856243	+	4242
282	chr2L	856617	856663	+	250
