cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
1	chr2L	8608	8631	+	6	8628	93	25	8609	8631	23
2	chr2L	8702	8709	+	4	8703	261	103	8703	8709	7
3	chr2L	9285	9320	+	6	9286	104	24	9286	9320	35
4	chr2L	9387	9518	+	58	9490	3347	1622	9408	9492	85
5	chr2L	23245	23288	+	4	23246	80	46	23246	23277	32
6	chr2L	52533	52534	+	1	52534	53	53	52534	52534	1
7	chr2L	66383	66404	+	4	66404	25	11	66392	66404	13
8	chr2L	66830	66832	+	2	66831	2	1	66831	66832	2
9	chr2L	67420	67422	+	2	67422	3	2	67421	67422	2
10	chr2L	69704	69711	+	3	69705	18	9	69705	69711	7
11	chr2L	69947	70020	+	11	70016	172	70	69964	70018	55
12	chr2L	70664	70707	+	6	70704	33	12	70696	70707	12
13	chr2L	70842	70984	+	39	70971	162	28	70910	70971	62
14	chr2L	71389	71392	+	2	71390	29	27	71390	71390	1
15	chr2L	76029	76207	+	32	76206	986	486	76166	76206	41
16	chr2L	77768	77783	+	5	77779	203	91	77779	77783	5
17	chr2L	80422	80447	+	4	80447	9	5	80423	80447	25
18	chr2L	86033	86035	+	2	86034	7	6	86034	86035	2
19	chr2L	94798	94801	+	2	94801	29	15	94799	94801	3
20	chr2L	96157	96167	+	2	96158	19	11	96158	96167	10
21	chr2L	100572	100574	+	2	100574	7	6	100573	100574	2
22	chr2L	101675	101697	+	3	101677	7	4	101676	101697	22
23	chr2L	102085	102102	+	5	102102	52	25	102086	102102	17
24	chr2L	103487	103489	+	2	103489	17	11	103488	103489	2
25	chr2L	104023	104146	+	16	104142	509	248	104066	104142	77
26	chr2L	107039	107046	+	2	107046	3	2	107040	107046	7
27	chr2L	110977	110998	+	3	110987	28	23	110978	110987	10
28	chr2L	113929	113931	+	2	113931	7	5	113930	113931	2
29	chr2L	113999	114224	+	70	114210	699	60	114032	114210	179
30	chr2L	114428	114442	+	7	114432	508	382	114431	114433	3
31	chr2L	122988	123000	+	4	123000	441	363	122998	123000	3
32	chr2L	123403	123450	+	4	123404	44	13	123404	123450	47
33	chr2L	123517	123691	+	36	123619	1435	280	123518	123636	119
34	chr2L	123745	123833	+	11	123833	199	40	123747	123833	87
35	chr2L	123933	123973	+	5	123936	70	21	123934	123973	40
36	chr2L	124014	124066	+	17	124051	977	350	124050	124061	12
37	chr2L	126977	126980	+	2	126978	4	2	126978	126980	3
38	chr2L	132139	132237	+	10	132222	480	166	132175	132227	53
