cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
1	chr2L	7426	7525	+	32	7492	4340	1215	7464	7515	52
2	chr2L	7573	7574	+	1	7574	70	70	7574	7574	1
3	chr2L	21816	21862	+	7	21830	157	56	21817	21860	44
4	chr2L	67042	67044	+	2	67044	53	46	67043	67044	2
5	chr2L	68665	68718	+	7	68680	57	23	68666	68701	36
6	chr2L	70271	70285	+	2	70285	26	21	70272	70285	14
7	chr2L	71740	71741	+	1	71741	165	165	71741	71741	1
8	chr2L	72599	72617	+	2	72600	277	258	72600	72600	1
9	chr2L	73426	73474	+	6	73473	138	49	73427	73474	48
10	chr2L	73520	73525	+	2	73525	43	31	73521	73525	5
11	chr2L	75937	75961	+	4	75949	10	5	75938	75961	24
12	chr2L	76330	76356	+	3	76331	53	31	76331	76356	26
13	chr2L	94720	94797	+	8	94742	454	242	94735	94775	41
14	chr2L	102385	102491	+	20	102392	928	239	102386	102432	47
15	chr2L	107760	107763	+	2	107761	377	350	107761	107761	1
16	chr2L	107926	107969	+	5	107927	82	24	107927	107969	43
17	chr2L	108130	108226	+	10	108133	1409	954	108131	108136	6
18	chr2L	110927	110966	+	4	110948	88	35	110928	110966	39
19	chr2L	112403	112428	+	2	112404	6	4	112404	112428	25
20	chr2L	112763	112896	+	8	112896	11	3	112794	112896	103
21	chr2L	122718	122799	+	15	122756	1061	375	122745	122799	55
22	chr2L	123047	123077	+	3	123065	64	24	123048	123077	30
23	chr2L	131985	132120	+	13	132082	812	331	132076	132083	8
24	chr2L	138603	138630	+	2	138604	20	10	138604	138630	27
25	chr2L	143264	143395	+	19	143293	769	152	143286	143357	72
26	chr2L	155045	155157	+	35	155083	6552	2259	155083	155123	41
27	chr2L	155275	155676	+	77	155363	5663	1293	155347	155618	272
28	chr2L	156118	156178	+	14	156166	421	109	156143	156170	28
29	chr2L	156320	156325	+	2	156325	6	4	156321	156325	5
30	chr2L	158980	159060	+	18	159040	1178	508	159012	159040	29
31	chr2L	159102	159219	+	14	159215	595	127	159106	159215	110
32	chr2L	159513	159530	+	2	159514	61	56	159514	159514	1
33	chr2L	159617	159676	+	3	159676	8	6	159618	159676	59
34	chr2L	161927	161973	+	7	161928	9	2	161928	161973	46
35	chr2L	182793	182846	+	3	182846	62	55	182824	182846	23
36	chr2L	183133	183150	+	2	183134	2	1	183134	183150	17
37	chr2L	185077	185100	+	2	185078	2	1	185078	185100	23
38	chr2L	190018	190046	+	3	190020	81	40	190019	190046	28
39	chr2L	203750	203846	+	27	203800	2328	1001	203768	203832	65
40	chr2L	206998	207099	+	16	207047	429	118	207008	207073	66
41	chr2L	207360	207496	+	25	207432	486	69	207395	207451	57
42	chr2L	207575	207577	+	2	207576	8	7	207576	207577	2
43	chr2L	207891	207917	+	2	207892	5	3	207892	207917	26
44	chr2L	208187	208223	+	4	208198	4	1	208188	208223	36
45	chr2L	227884	227969	+	14	227885	267	41	227885	227964	80
46	chr2L	232433	232557	+	45	232480	9071	2488	232471	232498	28
47	chr2L	232616	232655	+	3	232617	25	14	232617	232655	39
48	chr2L	232718	232747	+	2	232747	22	12	232719	232747	29
49	chr2L	232961	232972	+	3	232972	67	33	232962	232972	11
50	chr2L	233661	233696	+	5	233675	5	1	233662	233696	35
51	chr2L	248840	248851	+	2	248841	30	15	248841	248851	11
52	chr2L	262172	262258	+	14	262228	374	55	262213	262258	46
53	chr2L	262354	262358	+	2	262358	3	2	262355	262358	4
54	chr2L	267795	267826	+	2	267826	13	8	267796	267826	31
55	chr2L	269035	269206	+	77	269105	22976	4586	269087	269150	64
56	chr2L	269354	269369	+	3	269360	6	3	269355	269369	15
57	chr2L	269466	269515	+	5	269478	56	19	269467	269478	12
58	chr2L	269571	269652	+	9	269581	276	109	269573	269629	57
59	chr2L	269698	269827	+	9	269699	220	61	269699	269799	101
60	chr2L	269876	269885	+	2	269885	26	15	269877	269885	9
61	chr2L	271116	271198	+	8	271184	39	14	271117	271190	74
62	chr2L	271836	271840	+	2	271840	103	93	271840	271840	1
63	chr2L	273914	273967	+	10	273955	568	133	273918	273962	45
64	chr2L	274121	274146	+	2	274122	2	1	274122	274146	25
65	chr2L	274190	274218	+	2	274191	2	1	274191	274218	28
