cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
1	chr2L	7426	7525	+	26	7492	219	36	7450	7515	66
2	chr2L	21816	21862	+	7	21830	78	25	21821	21860	40
3	chr2L	22242	22271	+	5	22249	144	51	22246	22271	26
4	chr2L	66230	66278	+	3	66278	82	37	66231	66278	48
5	chr2L	66792	66797	+	3	66793	74	33	66793	66797	5
6	chr2L	67042	67044	+	2	67044	184	160	67043	67044	2
7	chr2L	68665	68718	+	7	68701	352	163	68680	68709	30
8	chr2L	70199	70285	+	10	70225	175	29	70203	70285	83
9	chr2L	71740	71741	+	1	71741	63	63	71741	71741	1
10	chr2L	72599	72617	+	2	72600	79	70	72600	72617	18
11	chr2L	73426	73473	+	5	73441	69	32	73427	73473	47
12	chr2L	73520	73525	+	2	73525	5	3	73521	73525	5
13	chr2L	74589	74661	+	7	74608	114	27	74590	74624	35
14	chr2L	75937	75961	+	5	75949	186	78	75938	75959	22
15	chr2L	76330	76356	+	2	76331	2	1	76331	76356	26
16	chr2L	78966	79051	+	17	79010	980	309	78998	79032	35
17	chr2L	84209	84222	+	2	84210	24	12	84210	84222	13
18	chr2L	85882	85918	+	4	85895	58	19	85883	85918	36
19	chr2L	94720	94797	+	8	94742	274	167	94735	94775	41
20	chr2L	94990	95052	+	6	95017	119	58	94991	95043	53
21	chr2L	96013	96023	+	2	96023	24	13	96014	96023	10
22	chr2L	96137	96159	+	2	96138	38	26	96138	96159	22
23	chr2L	102385	102491	+	19	102404	214	41	102386	102472	87
24	chr2L	107633	107638	+	2	107634	26	13	107634	107638	5
25	chr2L	107760	107763	+	2	107761	104	80	107761	107763	3
26	chr2L	107926	107969	+	5	107934	43	18	107934	107969	36
27	chr2L	108130	108226	+	10	108133	420	251	108131	108136	6
28	chr2L	109435	109485	+	4	109468	64	32	109436	109485	50
29	chr2L	110927	110966	+	3	110948	5	2	110928	110966	39
30	chr2L	112381	112428	+	3	112382	49	19	112382	112428	47
31	chr2L	112756	113017	+	32	112855	1779	320	112768	112963	196
32	chr2L	122750	122799	+	5	122756	17	10	122756	122799	44
33	chr2L	123064	123077	+	2	123077	3	2	123065	123077	13
34	chr2L	131985	132141	+	15	132082	1121	340	132014	132120	107
35	chr2L	132204	132248	+	3	132248	60	38	132205	132248	44
36	chr2L	132340	132374	+	3	132364	40	19	132341	132374	34
37	chr2L	132989	133010	+	4	132990	85	28	132990	133010	21
38	chr2L	133722	133730	+	2	133723	26	15	133723	133730	8
39	chr2L	143264	143395	+	18	143293	211	41	143286	143357	72
40	chr2L	143790	143859	+	4	143859	120	49	143791	143859	69
41	chr2L	153232	153268	+	2	153233	32	16	153233	153268	36
42	chr2L	153317	153323	+	2	153323	24	13	153318	153323	6
43	chr2L	154786	154821	+	3	154821	44	23	154787	154821	35
44	chr2L	155045	155157	+	35	155083	3164	686	155083	155143	61
45	chr2L	155275	155676	+	79	155613	4715	614	155350	155617	268
46	chr2L	156118	156178	+	14	156166	284	48	156143	156170	28
47	chr2L	156297	156325	+	3	156325	42	18	156298	156325	28
48	chr2L	156372	156380	+	2	156380	23	12	156373	156380	8
49	chr2L	158939	159060	+	20	159035	1591	407	159008	159040	33
50	chr2L	159102	159219	+	14	159103	363	76	159103	159215	113
51	chr2L	159513	159530	+	2	159514	57	45	159514	159530	17
52	chr2L	159617	159676	+	3	159618	43	15	159618	159676	59
53	chr2L	161927	161973	+	8	161972	206	45	161928	161973	46
54	chr2L	182793	182846	+	3	182846	57	25	182794	182846	53
55	chr2L	183133	183150	+	2	183134	22	12	183134	183150	17
56	chr2L	183826	183867	+	4	183835	72	30	183827	183867	41
57	chr2L	183968	184031	+	3	183991	35	12	183969	184031	63
58	chr2L	185051	185215	+	23	185169	625	145	185100	185193	94
59	chr2L	190018	190046	+	3	190020	53	35	190019	190046	28
60	chr2L	190891	190983	+	9	190946	143	23	190892	190983	92
