consensus.cluster	chr	start	end	strand	tpm
1	chr2L	7426	7525	+	4559
2	chr2L	7573	7574	+	73
3	chr2L	21816	21862	+	235
4	chr2L	22242	22271	+	144
5	chr2L	66230	66278	+	83
6	chr2L	66792	66797	+	74
7	chr2L	67042	67044	+	237
8	chr2L	68665	68718	+	409
9	chr2L	70199	70285	+	202
10	chr2L	71740	71741	+	228
11	chr2L	72599	72617	+	356
12	chr2L	73426	73474	+	207
13	chr2L	74589	74661	+	116
14	chr2L	75937	75961	+	196
15	chr2L	76330	76356	+	55
16	chr2L	78966	79051	+	981
17	chr2L	85882	85918	+	60
18	chr2L	94720	94797	+	728
19	chr2L	94990	95052	+	120
20	chr2L	102385	102491	+	1142
21	chr2L	107760	107763	+	481
22	chr2L	107926	107969	+	125
23	chr2L	108130	108226	+	1829
24	chr2L	109435	109485	+	66
25	chr2L	110927	110966	+	93
26	chr2L	112756	113017	+	1790
27	chr2L	122718	122799	+	1078
28	chr2L	123047	123077	+	67
29	chr2L	131985	132141	+	1933
30	chr2L	132204	132248	+	60
31	chr2L	132989	133010	+	85
32	chr2L	143264	143395	+	980
33	chr2L	143790	143859	+	120
34	chr2L	155045	155157	+	9716
35	chr2L	155275	155676	+	10378
36	chr2L	156118	156178	+	705
37	chr2L	158939	159060	+	2806
38	chr2L	159102	159219	+	958
39	chr2L	159513	159530	+	118
40	chr2L	161927	161973	+	215
41	chr2L	182793	182846	+	119
42	chr2L	183826	183867	+	72
43	chr2L	185051	185215	+	627
44	chr2L	190018	190046	+	134
45	chr2L	190891	190983	+	145
46	chr2L	199923	199994	+	355
47	chr2L	203750	203846	+	3592
48	chr2L	204141	204142	+	55
49	chr2L	206998	207099	+	800
50	chr2L	207360	207496	+	1179
51	chr2L	207866	207947	+	106
52	chr2L	208187	208305	+	2068
53	chr2L	208494	208509	+	54
54	chr2L	218640	218718	+	120
55	chr2L	227884	227969	+	489
56	chr2L	228164	228219	+	77
57	chr2L	232433	232557	+	9312
58	chr2L	232616	232655	+	87
59	chr2L	232961	232972	+	70
60	chr2L	233651	233720	+	1056
61	chr2L	247724	247783	+	62
62	chr2L	249377	249406	+	82
63	chr2L	262172	262258	+	549
64	chr2L	269033	269251	+	32104
65	chr2L	269350	269369	+	145
66	chr2L	269424	269515	+	248
67	chr2L	269571	269652	+	296
68	chr2L	269698	269827	+	233
69	chr2L	271097	271214	+	470
70	chr2L	271836	271840	+	109
71	chr2L	273914	273967	+	745
72	chr2L	274121	274218	+	179
73	chr2L	276807	276819	+	68
74	chr2L	277553	277585	+	75
75	chr2L	279709	279808	+	1345
76	chr2L	280695	280729	+	128
77	chr2L	282848	282895	+	168
78	chr2L	283339	283340	+	69
79	chr2L	283802	283849	+	652
80	chr2L	283897	283968	+	349
81	chr2L	292354	292655	+	76912
82	chr2L	292715	292775	+	660
83	chr2L	295086	295274	+	5716
84	chr2L	295600	295690	+	151
85	chr2L	296199	296300	+	426
86	chr2L	296548	296565	+	65
87	chr2L	297862	297990	+	1278
88	chr2L	301844	301934	+	974
89	chr2L	305940	305980	+	248
90	chr2L	310248	310249	+	127
91	chr2L	318787	318826	+	60
92	chr2L	320428	320476	+	238
93	chr2L	322077	322127	+	150
94	chr2L	322509	322594	+	364
95	chr2L	325396	325433	+	75
96	chr2L	329920	329942	+	97
97	chr2L	330125	330155	+	69
98	chr2L	333028	333070	+	444
99	chr2L	336884	336939	+	207
100	chr2L	337090	337115	+	95
101	chr2L	338430	338532	+	1317
102	chr2L	355614	355728	+	628
103	chr2L	382126	382165	+	55
104	chr2L	386287	386318	+	64
105	chr2L	386962	387095	+	1763
106	chr2L	395991	396150	+	1889
107	chr2L	404273	404321	+	282
108	chr2L	406539	406670	+	577
109	chr2L	407459	407502	+	239
110	chr2L	413207	413277	+	88
111	chr2L	413424	413463	+	86
112	chr2L	414468	414526	+	97
113	chr2L	414779	414863	+	179
114	chr2L	415021	415225	+	914
115	chr2L	415288	415463	+	690
116	chr2L	415695	415800	+	165
117	chr2L	419899	420051	+	39643
118	chr2L	420375	420417	+	114
119	chr2L	420919	420943	+	68
120	chr2L	421052	421111	+	207
121	chr2L	422390	422486	+	444
122	chr2L	422876	422909	+	76
123	chr2L	422994	423039	+	98
124	chr2L	423578	423674	+	187
125	chr2L	423714	423718	+	99
126	chr2L	431225	431395	+	2223
127	chr2L	445160	445238	+	999
128	chr2L	445474	445496	+	154
129	chr2L	453066	453221	+	3246
130	chr2L	453814	453899	+	172
131	chr2L	464623	464666	+	68
132	chr2L	472982	473255	+	2708
133	chr2L	473358	473366	+	53
134	chr2L	473844	473848	+	69
135	chr2L	490830	490838	+	686
136	chr2L	533493	533532	+	85
137	chr2L	545130	545142	+	827
138	chr2L	545819	545921	+	1273
139	chr2L	545978	546035	+	121
140	chr2L	553279	553333	+	138
141	chr2L	559611	559726	+	3015
142	chr2L	559767	559825	+	112
143	chr2L	559941	560115	+	1084
144	chr2L	564137	564274	+	4682
145	chr2L	564457	564521	+	83
146	chr2L	565734	565769	+	87
147	chr2L	565876	565888	+	72
148	chr2L	568315	568400	+	1309
149	chr2L	568570	568627	+	236
150	chr2L	569236	569260	+	69
151	chr2L	570571	570626	+	64
152	chr2L	570678	570737	+	308
153	chr2L	571580	571636	+	267
154	chr2L	572045	572138	+	228
